App ID,Location,Course Name,Servers Trained,% of All Trained Servers
000000033,Online,California RBS Alcohol Server Training,2911,18.77%
000000036,Online,California Responsible Beverage Service Training,2696,17.38%
312654999,Online,California On-Premises Responsible Serving of Alcohol,1100,7.09%
312654998,Online,California Responsible Beverage Service Training,1099,7.09%
000000030,Online,,1015,6.54%
312655025,Online,SellerServerClasses.com,1001,6.45%
000000006,Online,RBS Training Program,603,3.89%
312654990,Online,California RBS Certificate AB 1221 Approved Training,587,3.78%
312658464,Statewide,Responsible Beverage Service Training,466,3%
312659057,Online,California Responsible Beverage Service Training (Online),463,2.99%
000000057,Online,Comedy Seller Server,463,2.99%
000000005,Statewide,California Responsible Beverage Service,410,2.64%
000000018,Statewide,ABC Responsible Beverage Service (RBS) Training ,395,2.55%
000000041,Statewide,Techniques for Effective Alcohol Management Level 2 Training,370,2.39%
312655095,Statewide,Training for Intervention Procedures (TIPS),297,1.91%
000000075,County,RBS Training,297,1.91%
312660682,Online,LiquorLicense.com RBS Training Course,223,1.44%
000000047,Online,AACEA - Americas Alcohol Certified Education Association ,200,1.29%
312655001,Statewide,RBS TRAINING POWER-POINT PRESENTATION,161,1.04%
000000039,Statewide,RBSServerTraining,158,1.02%
312656818,Statewide,California RBS Certification Training,125,0.81%
312655002,Statewide,Responsible Alcohol Sales and Service,109,0.7%
312655045,Online,#1 Responsible Beverage Service Training,81,0.52%
312655005,Online,California Responsible Beverage Service Training,74,0.48%
312655013,Statewide,DrinkWise America,63,0.41%
000000035,Online,Way To Serve,8,0.05%
312655156,Online,RBS Alcohol Training,4,0.03%
312659855,Online,SellerServerClasses.com,1,0.01%
